_raw,host,index,source,sourcetype
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1054,hmoid=9,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1054"", moname=cool_story_bro, AvgBRx_KBps=0.00, AvgBTx_KBps=0.00, AvgRvcd_KBps=0.00, AvgUsg_KBps=0.00, AvgXmit_KBps=0.00, SumPktsRx=0.00, SumPktsTx=0.00, instance=vmnic0, perftype=net",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1054,hmoid=9,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1054"", moname=cool_story_bro, AvgBRx_KBps=0.00, AvgBTx_KBps=0.00, AvgRvcd_KBps=0.00, AvgUsg_KBps=0.00, AvgXmit_KBps=0.00, SumBroadcastRx=18.00, SumBroadcastTx=0.00, SumDropRx=0.00, SumDropTx=0.00, SumMulticastRx=0.00, SumMulticastTx=0.00, SumPktsRx=18.00, SumPktsTx=0.00, instance=4000, perftype=net",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1054,hmoid=9,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1054"", moname=cool_story_bro, AvgActWr_KB=5240.00, AvgAct_KB=10484.00, AvgCmpd_KB=0.00, AvgCmpnRate_KBps=0.00, AvgConsum_KB=370640.00, AvgDecmpnRate_KBps=0.00, AvgEntitle_KB=425400.00, AvgGrtd_KB=370688.00, AvgLat_pct=0.00, AvgLlSwapUsd_KB=0.00, AvgLlSwpIRate_KBps=0.00, AvgLlSwpORate_KBps=0.00, AvgOvrhdMax_KB=22148.00, AvgOvrhdTouch_KB=16688.00, AvgOvrhd_KB=16688.00, AvgShrd_KB=100.00, AvgSwpIRate_KBps=0.00, AvgSwpIn_KB=0.00, AvgSwpORate_KBps=0.00, AvgSwpOut_KB=0.00, AvgSwpTarg_KB=0.00, AvgSwpd_KB=0.00, AvgUsg_pct=1.99, AvgVmctlTarg_KB=0.00, AvgVmctl_KB=0.00, AvgZero_KB=0.00, ZipSaved_KB=0.00, Zipped_KB=0.00, perftype=mem",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1054,hmoid=9,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1054"", moname=cool_story_bro, SumEnergy_j=0.00, perftype=power",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1054,hmoid=9,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1054"", moname=cool_story_bro, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=2.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=2.00, instance=naa.600508e000000000e3855e0bf192e103, perfsubtype=disk, perftype=disk",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1054,hmoid=9,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1054"", moname=cool_story_bro, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=5.00, AvgWr=0.00, AvgWr_KBps=0.00, RdLoadMetric=0.00, RdOIO=0.00, WrLoadMetric=0.00, WrOIO=0.00, instance=scsi0:0, perftype=vDisk",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1054,hmoid=9,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1054"", moname=cool_story_bro, AvgBRx_KBps=0.00, AvgBTx_KBps=0.00, AvgRvcd_KBps=0.00, AvgUsg_KBps=0.00, AvgXmit_KBps=0.00, SumBroadcastRx=18.00, SumBroadcastTx=0.00, SumDropRx=0.00, SumDropTx=0.00, SumMulticastRx=0.00, SumMulticastTx=0.00, SumPktsRx=18.00, SumPktsTx=0.00, perftype=net",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1054,hmoid=9,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1054"", moname=cool_story_bro, AvgBRx_KBps=0.00, AvgBTx_KBps=0.00, AvgRvcd_KBps=0.00, AvgUsg_KBps=0.00, AvgXmit_KBps=0.00, SumPktsRx=0.00, SumPktsTx=0.00, instance=vmnic1, perftype=net",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1054,hmoid=9,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1054"", moname=cool_story_bro, AvgUsg_mhz=42.00, SumCostop_ms=0.00, SumIdle_ms=19293.00, SumMaxLtd_ms=0.00, SumOverlap_ms=0.00, SumRdy_ms=53.00, SumRun_ms=615.00, SumSwpWait_ms=0.00, SumSys_ms=17.00, SumUsd_ms=351.00, SumWait_ms=19331.00, instance=0, perftype=cpu",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1054,hmoid=9,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1054"", moname=cool_story_bro, MaxTotLat_ms=0.00, perfsubtype=dStore, perftype=disk",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
